nootropic,issue,variant,prop,prop_low,prop_high,itemID,count_total,unknown,count
5-HTP,addiction,stan model,3.58344e-4,5.594260000000001e-6,0.0046810709999999985,NA,NA,NA,NA
5-HTP,long_term_side_effects,stan model,0.06925085,0.04300036,0.10218595,NA,NA,NA,NA
5-HTP,other,stan model,0.06492995,0.040913265,0.09797209,NA,NA,NA,NA
5-HTP,side_effects,stan model,0.2036035,0.1550051,0.26250084999999995,NA,NA,NA,NA
5-HTP,tolerance,stan model,0.00824183,0.0022740425,0.021675824999999996,NA,NA,NA,NA
"7,8-dihydroxyflavone",addiction,stan model,7.248070000000001e-4,6.4372065e-6,0.027846464999999987,NA,NA,NA,NA
"7,8-dihydroxyflavone",long_term_side_effects,stan model,0.02833185,0.007081214,0.08847357999999995,NA,NA,NA,NA
"7,8-dihydroxyflavone",other,stan model,0.04186075,0.01516028,0.1035849,NA,NA,NA,NA
"7,8-dihydroxyflavone",side_effects,stan model,0.07603445,0.023048875,0.2003825,NA,NA,NA,NA
"7,8-dihydroxyflavone",tolerance,stan model,0.0156034,0.002326303,0.07579927999999996,NA,NA,NA,NA
9-MBC,addiction,stan model,8.436495000000001e-4,9.638629e-6,0.032913534999999994,NA,NA,NA,NA
9-MBC,long_term_side_effects,stan model,0.03016145,0.007691849,0.10286019999999997,NA,NA,NA,NA
9-MBC,other,stan model,0.04460535,0.015433134999999999,0.11551209999999987,NA,NA,NA,NA
9-MBC,side_effects,stan model,0.144646,0.0485622,0.3364636999999997,NA,NA,NA,NA
9-MBC,tolerance,stan model,0.01732575,0.0026048815,0.08336012,NA,NA,NA,NA
Adderall,addiction,stan model,0.119308,0.093070265,0.1486712,NA,NA,NA,NA
Adderall,long_term_side_effects,stan model,0.1649655,0.13368739999999998,0.19978989999999996,NA,NA,NA,NA
Adderall,other,stan model,0.08736025,0.06597402,0.11225935000000001,NA,NA,NA,NA
Adderall,side_effects,stan model,0.196971,0.1639265,0.23428615,NA,NA,NA,NA
Adderall,tolerance,stan model,0.15490149999999997,0.12585895,0.18756509999999998,NA,NA,NA,NA
Adrafinil,addiction,stan model,0.006479385,4.789143000000001e-4,0.03294554999999999,NA,NA,NA,NA
Adrafinil,long_term_side_effects,stan model,0.0893783,0.047495855000000003,0.15283699999999992,NA,NA,NA,NA
Adrafinil,other,stan model,0.07002349999999999,0.036863085000000004,0.12008519999999999,NA,NA,NA,NA
Adrafinil,side_effects,stan model,0.1741955,0.10902875000000001,0.25486605,NA,NA,NA,NA
Adrafinil,tolerance,stan model,0.104817,0.05748974,0.17249329999999996,NA,NA,NA,NA
Agmatine,addiction,stan model,5.144114999999999e-4,6.661137500000001e-6,0.010883969999999996,NA,NA,NA,NA
Agmatine,long_term_side_effects,stan model,0.0261014,0.008549673499999999,0.06601950999999998,NA,NA,NA,NA
Agmatine,other,stan model,0.0352791,0.014681035,0.07409994499999999,NA,NA,NA,NA
Agmatine,side_effects,stan model,0.12236549999999999,0.064743465,0.21070174999999997,NA,NA,NA,NA
Agmatine,tolerance,stan model,0.04529435,0.016061415000000002,0.10287954999999997,NA,NA,NA,NA
Alpha-GPC,addiction,stan model,3.7993200000000003e-4,4.257076000000001e-6,0.006509357999999999,NA,NA,NA,NA
Alpha-GPC,long_term_side_effects,stan model,0.11026249999999999,0.06991250000000002,0.16248209999999996,NA,NA,NA,NA
Alpha-GPC,other,stan model,0.02820715,0.01359467,0.05307375499999994,NA,NA,NA,NA
Alpha-GPC,side_effects,stan model,0.09276355,0.05548055999999999,0.14459844999999993,NA,NA,NA,NA
Alpha-GPC,tolerance,stan model,0.03819625,0.01715603,0.073985265,NA,NA,NA,NA
Alprazolam (Xanax),addiction,stan model,0.1969995,0.1331761,0.27741755,NA,NA,NA,NA
Alprazolam (Xanax),long_term_side_effects,stan model,0.0721225,0.037626435,0.12391829999999997,NA,NA,NA,NA
Alprazolam (Xanax),other,stan model,0.10083149999999999,0.06003993,0.15719099999999997,NA,NA,NA,NA
Alprazolam (Xanax),side_effects,stan model,0.1132275,0.067400635,0.1734045,NA,NA,NA,NA
Alprazolam (Xanax),tolerance,stan model,0.116658,0.06886571999999999,0.18277865,NA,NA,NA,NA
Aniracetam,addiction,stan model,4.346185e-4,6.473842e-6,0.008579206499999995,NA,NA,NA,NA
Aniracetam,long_term_side_effects,stan model,0.044357499999999994,0.0190638,0.08602340999999998,NA,NA,NA,NA
Aniracetam,other,stan model,0.04142559999999999,0.020327355,0.07452926999999995,NA,NA,NA,NA
Aniracetam,side_effects,stan model,0.07148285,0.036860875,0.12397784999999997,NA,NA,NA,NA
Aniracetam,tolerance,stan model,0.05089455,0.022212424999999997,0.09670318499999996,NA,NA,NA,NA
Armodafinil,addiction,stan model,0.006802345,6.4996395e-4,0.030683634999999997,NA,NA,NA,NA
Armodafinil,long_term_side_effects,stan model,0.1386645,0.08429044,0.21043509999999999,NA,NA,NA,NA
Armodafinil,other,stan model,0.06114425,0.032146385,0.10573030000000001,NA,NA,NA,NA
Armodafinil,side_effects,stan model,0.217395,0.14545395,0.30105439999999994,NA,NA,NA,NA
Armodafinil,tolerance,stan model,0.0928565,0.047509245,0.15986845,NA,NA,NA,NA
Ashwagandha,addiction,stan model,0.002429665,2.3975165000000002e-4,0.010016789999999998,NA,NA,NA,NA
Ashwagandha,long_term_side_effects,stan model,0.04720115,0.029448614999999997,0.07139200999999998,NA,NA,NA,NA
Ashwagandha,other,stan model,0.04283855,0.02681932,0.06529007999999999,NA,NA,NA,NA
Ashwagandha,side_effects,stan model,0.1741235,0.13848135,0.21620699999999995,NA,NA,NA,NA
Ashwagandha,tolerance,stan model,0.0427329,0.02549577,0.06677340499999998,NA,NA,NA,NA
