userID,itemID,rating,issue,time
20124930,Adderall,9,Developed tolerance,1638897595.5796711
20124930,Theanine,2,None / Unsure,1638897595.5796711
20124930,Trying to get more sleep,4,None / Unsure,1638897595.5796711
20124930,Melatonin,7,None / Unsure,1638897595.5796711
20124930,Magnesium,0,None / Unsure,1638897595.5796711
20124930,Guanfacine,1,None / Unsure,1638897595.5796711
20124930,Caffeine,4,None / Unsure,1638897595.5796711
44923015,"Low intensity cardio (hiking, light jogging...)",0,None / Unsure,1638897114.953692
44923015,Adderall,9,Developed tolerance,1638897114.953692
44923015,Rhodiola,2,None / Unsure,1638897114.953692
44923015,Melatonin,7,None / Unsure,1638897114.953692
44923015,Caffeine,3,None / Unsure,1638897114.953692
44923015,Lion's Mane,0,None / Unsure,1638897114.953692
44923015,Ginseng,0,None / Unsure,1638897114.953692
44923015,Guanfacine,0,None / Unsure,1638897114.953692
44923015,Theanine,2,None / Unsure,1638897114.953692
44923015,Magnesium,0,None / Unsure,1638897114.953692
10030364,"High intensity cardio (HIIT, soccer...)",0,None / Unsure,1638386367.8917897
10030364,Caffeine,5,None / Unsure,1638386367.8917897
10030364,Trying to get more sleep,0,None / Unsure,1638386367.8917897
10030364,Trying to get less sleep,0,None / Unsure,1638386367.8917897
10030364,Modafinil,0,None / Unsure,1638386367.8917897
10065616,Magnesium,0,None / Unsure,1638414578.7506053
10065616,Trying to get more sleep,0,None / Unsure,1638414578.7506053
10065616,Alpha-GPC,0,None / Unsure,1638414578.7506053
10065616,Lion's Mane,0,None / Unsure,1638414578.7506053
10065616,Weightlifting,0,None / Unsure,1638414578.7506053
10065616,DMAE,0,None / Unsure,1638414578.7506053
10065616,Bacopa,0,None / Unsure,1638414578.7506053
10065616,Maca,0,None / Unsure,1638414578.7506053
10065616,Melatonin,0,None / Unsure,1638414578.7506053
10065616,"Low intensity cardio (hiking, light jogging...)",0,None / Unsure,1638414578.7506053
10065616,No Fap (or otherwise avoiding masturbation),0,None / Unsure,1638414578.7506053
10065616,"High intensity cardio (HIIT, soccer...)",0,None / Unsure,1638414578.7506053
10065616,Omega-3 Supplements,0,None / Unsure,1638414578.7506053
10065616,Ashwagandha,0,None / Unsure,1638414578.7506053
10065616,Creatine,0,None / Unsure,1638414578.7506053
10065616,Caffeine,0,None / Unsure,1638414578.7506053
10065616,Rhodiola,0,None / Unsure,1638414578.7506053
10065616,Theanine,0,None / Unsure,1638414578.7506053
10253060,Caffeine,3,[],1642304091.4394767
10253060,Ketogenic diet,9,[],1642304091.4394767
10253060,Trying to get more sleep,2,[],1642304091.4394767
10253060,Vegan diet,2,[],1642304091.4394767
10253060,Intermittent fasting,7,[],1642304091.4394767
10253060,"Low intensity cardio (hiking, light jogging...)",5,[],1642304091.4394767
10253060,Bright lights in morning / Dawn simulator,5,[],1642304091.4394767
10253060,"High intensity cardio (HIIT, soccer...)",0,[],1642304091.4394767
10303657,"Low intensity cardio (hiking, light jogging...)",6,['None'],1642306024.462844
10303657,No Fap (or otherwise avoiding masturbation),8,['None'],1642306024.462844
10303657,Probiotics,6,['Had to stop because of side effects'],1642306024.462844
10303657,Cold shower / Ice bath,8,['None'],1642306024.462844
10303657,Trying to get less sleep,0,['Had to stop because of side effects'],1642306024.462844
10303657,"High intensity cardio (HIIT, soccer...)",7,['None'],1642306024.462844
10303657,Meditation,8,['None'],1642306024.462844
10303657,Weightlifting,8,['None'],1642306024.462844
10303657,Vegan diet,7,['None'],1642306024.462844
10303657,"Fermented drinks (Kefir, Kombucha...)",5,['Had to stop because of side effects'],1642306024.462844
10303657,Caffeine,7,"['Developed tolerance', 'Had to stop because of side effects']",1642306024.462844
10303657,Intermittent fasting,6,['None'],1642306024.462844
10303657,Bright lights in morning / Dawn simulator,4,['None'],1642306024.462844
10303657,Omega-3 Supplements,7,['None'],1642306024.462844
10303657,Trying to get more sleep,9,['None'],1642306024.462844
10316222,"SNRIs (Cymbalta, Effexor...)",2,Other issues,1638510221.9142482
10316222,Probiotics,8,None / Unsure,1638510221.9142482
10316222,Psilocybin (microdose),8,None / Unsure,1638510221.9142482
10316222,Vegan diet,7,None / Unsure,1638510221.9142482
10316222,Magnesium,4,Other issues,1638510221.9142482
10316222,"SSRIs (Prozac, Lexapro...)",4,None / Unsure,1638510221.9142482
10316222,CBD,6,None / Unsure,1638510221.9142482
10316222,Caffeine,7,None / Unsure,1638510221.9142482
10316222,"Bupropion (Wellbutrin, Zyban...)",7,None / Unsure,1638510221.9142482
10316222,"Low intensity cardio (hiking, light jogging...)",7,None / Unsure,1638510221.9142482
10316222,Omega-3 Supplements,5,None / Unsure,1638510221.9142482
10316222,GABA,6,None / Unsure,1638510221.9142482
10316222,Vegetarian diet,6,None / Unsure,1638510221.9142482
10318375,Adderall,10,[],1642314096.3223956
10318375,Meditation,4,[],1642314096.3223956
10318375,Melatonin,0,[],1642314096.3223956
10318375,Theanine,2,[],1642314096.3223956
10318375,Caffeine,9,[],1642314096.3223956
10318375,Magnesium,2,[],1642314096.3223956
10359991,Caffeine,7,None / Unsure,1638236574.9738696
