userID,itemID,rating,issue
49037153,Nicotine,5,None / Unsure
86233489,Nicotine,2,Other issues
85076587,Vitamin D,3,[]
88894279,Omega-3 Supplements,3,None / Unsure
64256897,"High intensity cardio (HIIT, soccer...)",5,[]
72249895,Carnitine / Acetyl-L-Carnitine (ALCAR),6,None / Unsure
94279117,Nicotine,2,None / Unsure
27597219,Caffeine,9,None / Unsure
33190315,Valerian Root,4,None / Unsure
90442458,Magnesium,8,None / Unsure
76034682,Meditation,7,[]
84987852,Ginkgo Biloba,0,[]
63693089,Trying to get more sleep,7,None / Unsure
21870177,Magnesium,0,[]
91820365,Adrafinil,8,None / Unsure
33524962,Kava,6,None / Unsure
81994358,Melatonin,2,['None']
97815091,Vegan diet,10,None / Unsure
1851254,No Fap (or otherwise avoiding masturbation),0,[]
46432000,Magnesium,2,None / Unsure
19029326,Magnesium,9,None / Unsure
11731695,Bright lights in morning / Dawn simulator,10,None / Unsure
121698,"SSRIs (Prozac, Lexapro...)",5,None / Unsure
27019839,Caffeine,5,Developed tolerance
26446128,Adderall,10,None / Unsure
20220586,Melatonin,5,[]
21788152,Modafinil,9,None / Unsure
43732045,Ketogenic diet,8,None / Unsure
15936111,Caffeine,5,None / Unsure
9030549,Saffron,5,[]
90498794,Inositol,0,['None']
36901867,Vitamin D,0,['Other issues']
27408798,Caffeine,6,['Persistent side effects']
86992186,Maca,3,None / Unsure
39318916,Niacin,0,None / Unsure
25022847,LSD (microdose),7,[]
91376773,Meditation,7,None / Unsure
74402901,LSD (microdose),7,[]
41388926,Creatine,7,None / Unsure
48998006,"Low intensity cardio (hiking, light jogging...)",8,None / Unsure
45199992,Carnivore diet,6,None / Unsure
39359650,Ginkgo Biloba,0,[]
23472376,Creatine,0,None / Unsure
59012166,Aniracetam,8,None / Unsure
28034480,Tyrosine,4,[]
29510105,"High intensity cardio (HIIT, soccer...)",8,None / Unsure
53969159,Trying to get more sleep,2,['Other issues']
36901867,Caffeine,3,['Developed tolerance']
68309222,Theanine,7,[]
62169937,Vitamin D,0,[]
83716276,Magnesium,0,None / Unsure
50579346,Berberine,5,None / Unsure
80810346,Vegetarian diet,5,[]
52725002,Rhodiola,0,None / Unsure
47069926,Caffeine,7,None / Unsure
35381924,Pramiracetam,10,[]
47041739,Polygala tenuifolia,2,None / Unsure
5937874,Caffeine,8,[]
53079312,Lion's Mane,4,['None']
81516477,Ginseng,0,[]
42162503,5-HTP,3,Had to stop because of side effects
22089885,Maca,2,None / Unsure
50794397,Tyrosine,2,['None']
98737120,Melatonin,2,None / Unsure
94911347,Ashwagandha,0,None / Unsure
91881401,Nicotine,7,None / Unsure
