userID,itemID,rating,is_true_ratings,accuracy_check,pseudo,time
5187826,Theanine,6,True,False,,
5187826,Noopept,6,True,False,,
5187826,Oxiracetam,7,True,False,,
5187826,Rhodiola,4,True,False,,
5187826,Creatine,5,True,False,,
5187826,Theanine,6,False,True,,
5187826,Noopept,6,False,True,,
5187826,Oxiracetam,7,False,True,,
5187826,Rhodiola,4,False,True,,
5187826,Creatine,5,False,True,,
5187826,Unifiram,5,False,True,,
74437772,Theanine,6,True,False,,
74437772,Noopept,6,True,False,,
74437772,Oxiracetam,7,True,False,,
74437772,Rhodiola,4,True,False,,
74437772,Creatine,5,True,False,,
74437772,Unifiram,5,True,False,,
5409153,Caffeine,5,True,False,,
5409153,Coluracetam,5,True,False,,
5409153,Rhodiola,6,True,False,,
5409153,Caffeine,5,False,True,,
5409153,Coluracetam,5,False,True,,
5409153,Rhodiola,6,False,True,,
5409153,Theanine,6,True,False,,
37431032,Coluracetam,0,True,False,,
37431032,Phenylpiracetam,0,True,False,,
75642374,Noopept,3,True,False,,
13796075,Coluracetam,5,True,False,,
88006727,Noopept,5,True,False,,
88006727,Inositol,6,True,False,,
79798144,Modafinil,0,True,False,,
55190299,Theanine,5,True,False,,
55190299,Noopept,6,True,False,,
55190299,Rhodiola,7,True,False,,
55190299,SemaxandNASemaxetc,3,True,False,,
55190299,Piracetam,5,True,False,Leo,1634901207.345134
55190299,Piracetam,5,True,False,,1634918428.586507
55190299,Ashwagandha,2,True,False,,1634918428.586507
55190299,AlphaBrainproprietaryblend,3,True,False,,1634918428.586507
55190299,Piracetam,5,True,False,Leo,1634918435.286338
55190299,Ashwagandha,2,True,False,Leo,1634918435.286338
55190299,AlphaBrainproprietaryblend,3,True,False,Leo,1634918435.286338
