userID,itemID,rating
2,Modafinil,5
3,Modafinil,9
6,Modafinil,4
7,Modafinil,5
8,Modafinil,3
10,Modafinil,8
11,Modafinil,3
12,Modafinil,8
13,Modafinil,6
14,Modafinil,6
15,Modafinil,8
16,Modafinil,7
20,Modafinil,9
21,Modafinil,10
22,Modafinil,2
24,Modafinil,7
26,Modafinil,7
31,Modafinil,0
37,Modafinil,8
42,Modafinil,7
44,Modafinil,6
45,Modafinil,10
49,Modafinil,10
50,Modafinil,0
52,Modafinil,3
56,Modafinil,7
58,Modafinil,8
60,Modafinil,6
61,Modafinil,5
62,Modafinil,6
66,Modafinil,6
68,Modafinil,1
69,Modafinil,7
71,Modafinil,7
72,Modafinil,2
73,Modafinil,5
74,Modafinil,4
76,Modafinil,5
77,Modafinil,10
78,Modafinil,6
79,Modafinil,3
81,Modafinil,9
82,Modafinil,5
86,Modafinil,8
87,Modafinil,9
88,Modafinil,5
89,Modafinil,5
90,Modafinil,8
91,Modafinil,6
93,Modafinil,7
96,Modafinil,9
98,Modafinil,7
99,Modafinil,4
100,Modafinil,5
101,Modafinil,9
102,Modafinil,10
103,Modafinil,9
105,Modafinil,8
107,Modafinil,6
108,Modafinil,3
111,Modafinil,3
112,Modafinil,8
113,Modafinil,5
114,Modafinil,4
115,Modafinil,3
116,Modafinil,6
117,Modafinil,8
118,Modafinil,5
120,Modafinil,5
121,Modafinil,6
122,Modafinil,8
124,Modafinil,7
125,Modafinil,5
126,Modafinil,6
127,Modafinil,8
128,Modafinil,9
131,Modafinil,7
132,Modafinil,0
135,Modafinil,8
138,Modafinil,8
145,Modafinil,10
147,Modafinil,2
148,Modafinil,8
150,Modafinil,8
152,Modafinil,5
155,Modafinil,6
157,Modafinil,8
158,Modafinil,8
159,Modafinil,9
162,Modafinil,8
165,Modafinil,4
166,Modafinil,8
167,Modafinil,8
171,Modafinil,7
172,Modafinil,7
173,Modafinil,8
175,Modafinil,8
176,Modafinil,7
177,Modafinil,10
179,Modafinil,7
183,Modafinil,1
186,Modafinil,7
188,Modafinil,4
189,Modafinil,8
190,Modafinil,8
191,Modafinil,8
192,Modafinil,1
194,Modafinil,8
198,Modafinil,6
200,Modafinil,7
203,Modafinil,0
205,Modafinil,8
206,Modafinil,7
208,Modafinil,8
210,Modafinil,0
212,Modafinil,9
216,Modafinil,6
